Date,Rspm
9/16/2010,35
9/20/2010,79
9/24/2010,68
9/28/2010,73
5/10/2010,61
7/10/2010,103
11/10/2010,85
10/14/2010,97
10/20/2010,52
10/24/2010,73
10/27/2010,114
10/29/2010,128
3/11/2010,120
9/11/2010,44
11/11/2010,62
11/15/2010,94
11/19/2010,94
11/23/2010,86
11/25/2010,122
11/28/2010,125
2/12/2010,97
7/12/2010,40
10/12/2010,58
12/14/2010,93
12/19/2010,77
12/22/2010,143
12/27/2010,112
12/29/2010,108
3/1/2011,127
5/1/2011,132
11/1/2011,125
1/17/2011,139
1/21/2011,122
1/23/2011,122
1/27/2011,115
1/29/2011,127
1/31/2011,134
2/2/2011,148
5/2/2011,140
8/2/2011,138
11/2/2011,150
2/16/2011,123
2/18/2011,139
2/22/2011,105
2/26/2011,149
2/28/2011,133
4/3/2011,157
7/3/2011,146
9/3/2011,148
3/15/2011,147
3/17/2011,126
3/21/2011,118
3/25/2011,123
3/27/2011,102
3/29/2011,116
2/4/2011,132
5/4/2011,142
7/4/2011,104
10/4/2011,102
4/13/2011,110
4/18/2011,131
4/21/2011,101
4/25/2011,79
4/29/2011,124
2/5/2011,172
5/5/2011,172
7/5/2011,150
10/5/2011,142
5/15/2011,129
5/18/2011,112
5/20/2011,104
5/25/2011,88
5/29/2011,91
2/6/2011,110
5/6/2011,68
7/6/2011,94
10/6/2011,63
6/15/2011,74
6/18/2011,82
6/20/2011,82
6/25/2011,77
6/29/2011,76
2/7/2011,58
5/7/2011,74
7/7/2011,106
7/15/2011,55
7/18/2011,82
7/20/2011,74
7/23/2011,49
7/26/2011,93
7/29/2011,60
2/8/2011,42
4/8/2011,55
7/8/2011,39
10/8/2011,58
8/13/2011,53
8/18/2011,79
8/22/2011,88
8/24/2011,55
8/26/2011,55
3/9/2011,56
6/9/2011,42
9/9/2011,60
9/14/2011,67
9/18/2011,48
9/22/2011,54
9/24/2011,52
9/26/2011,76
9/30/2011,156
3/10/2011,110
5/10/2011,104
7/10/2011,104
9/10/2011,101
10/14/2011,90
10/19/2011,60
10/22/2011,92
10/26/2011,116
10/27/2011,80
10/31/2011,95
2/11/2011,112
4/11/2011,98
7/11/2011,101
10/11/2011,134
11/14/2011,134
11/18/2011,108
11/22/2011,141
11/26/2011,92
11/30/2011,152
2/12/2011,69
5/12/2011,180
8/12/2011,114
11/12/2011,83
12/16/2011,108
12/20/2011,165
12/22/2011,163
12/24/2011,177
12/28/2011,146
2/1/2011,61.7
8/1/2011,97.7
10/1/2011,91.3
1/14/2011,79.3
1/16/2011,49
1/20/2011,78
1/22/2011,162.3
1/26/2011,107
1/28/2011,87.7
2/2/2011,94.7
5/2/2011,90.7
8/2/2011,54.3
11/2/2011,70.7
2/16/2011,112.7
2/18/2011,118.7
2/25/2011,81.3
2/26/2011,87.3
2/28/2011,111.3
7/3/2011,118.7
9/3/2011,101
3/15/2011,65.3
3/17/2011,62.7
3/21/2011,64
3/24/2011,108
3/25/2011,74
3/27/2011,63.7
3/29/2011,120.7
2/4/2011,87
5/4/2011,96
7/4/2011,82
10/4/2011,93
4/13/2011,79
