Date,Spm
6/22/2011,
6/24/2011,
6/28/2011,
1/7/2011,
5/7/2011,
10/7/2011,
7/14/2011,
7/18/2011,
7/21/2011,
7/25/2011,
7/28/2011,
1/8/2011,
4/8/2011,
7/8/2011,
10/8/2011,
8/16/2011,
8/19/2011,
8/24/2011,
8/29/2011,
5/9/2011,
8/9/2011,
12/9/2011,
9/16/2011,
9/20/2011,
9/25/2011,
9/27/2011,
9/30/2011,
3/10/2011,
10/10/2011,
12/10/2011,
10/16/2011,
10/19/2011,
10/21/2011,
10/24/2011,
10/27/2011,
2/11/2011,
8/11/2011,
11/13/2011,
11/17/2011,
11/23/2011,
11/25/2011,
11/29/2011,
4/12/2011,
7/12/2011,
12/13/2011,
12/15/2011,
12/20/2011,
12/23/2011,
12/27/2011,
12/29/2011,
2/1/2012,
5/1/2012,
8/1/2012,
11/1/2012,
1/13/2012,
1/19/2012,
1/21/2012,
1/24/2012,
1/30/2012,
2/2/2012,
6/2/2012,
8/2/2012,
12/2/2012,
2/17/2012,
2/21/2012,
2/23/2012,
2/25/2012,
2/27/2012,
2/3/2012,
6/3/2012,
10/3/2012,
12/3/2012,
3/17/2012,
3/21/2012,
3/24/2012,
3/26/2012,
3/29/2012,
2/4/2012,
6/4/2012,
10/4/2012,
4/15/2012,
4/18/2012,
4/21/2012,
4/23/2012,
4/26/2012,
4/28/2012,
2/5/2012,
5/5/2012,
8/5/2012,
5/13/2012,
5/16/2012,
5/18/2012,
5/21/2012,
5/24/2012,
5/29/2012,
5/6/2012,
8/6/2012,
11/6/2012,
6/17/2012,
6/20/2012,
6/22/2012,
6/25/2012,
6/28/2012,
2/7/2012,
4/7/2012,
8/7/2012,
10/7/2012,
7/15/2012,
7/20/2012,
7/23/2012,
7/26/2012,
7/28/2012,
2/8/2012,
4/8/2012,
7/8/2012,
12/8/2012,
8/17/2012,
8/20/2012,
8/23/2012,
8/25/2012,
8/30/2012,
3/9/2012,
5/9/2012,
9/9/2012,
11/9/2012,
9/15/2012,
9/18/2012,
9/21/2012,
9/24/2012,
9/30/2012,
2/10/2012,
5/10/2012,
8/10/2012,
11/10/2012,
10/15/2012,
10/18/2012,
10/21/2012,
10/26/2012,
10/27/2012,
3/11/2012,
5/11/2012,
6/11/2012,
12/11/2012,
11/13/2012,
11/18/2012,
11/21/2012,
11/24/2012,
11/27/2012,
3/12/2012,
6/12/2012,
11/12/2012,
12/15/2012,
12/18/2012,
12/21/2012,
12/23/2012,
12/26/2012,
12/28/2012,
12/28/2012,
2/1/2012,
5/1/2012,
8/1/2012,
11/1/2012,
1/13/2012,
1/19/2012,
1/21/2012,
1/24/2012,
1/30/2012,
2/2/2012,
6/2/2012,
8/2/2012,
12/2/2012,
2/17/2012,
2/21/2012,
2/23/2012,
2/25/2012,
2/27/2012,
2/3/2012,
6/3/2012,
10/3/2012,
12/3/2012,
3/17/2012,
3/21/2012,
3/24/2012,
3/26/2012,
3/29/2012,
2/4/2012,
6/4/2012,
4/15/2012,
4/18/2012,
4/21/2012,
4/23/2012,
4/24/2012,
4/26/2012,
4/28/2012,
2/5/2012,
5/5/2012,
8/5/2012,
5/13/2012,
5/16/2012,
5/18/2012,
5/21/2012,
5/24/2012,
5/29/2012,
2/6/2012,
8/6/2012,
11/6/2012,
6/17/2012,
6/20/2012,
6/22/2012,
6/24/2012,
6/25/2012,
6/28/2012,
2/7/2012,
4/7/2012,
7/7/2012,
10/7/2012,
7/15/2012,
7/20/2012,
7/23/2012,
7/26/2012,
7/28/2012,
2/8/2012,
4/8/2012,
7/8/2012,
12/8/2012,
8/17/2012,
8/20/2012,
8/23/2012,
8/25/2012,
8/30/2012,
3/9/2012,
5/9/2012,
9/9/2012,
11/9/2012,
9/15/2012,
9/18/2012,
9/21/2012,
9/24/2012,
9/27/2012,
3/10/2012,
5/10/2012,
8/10/2012,
11/10/2012,
10/15/2012,
10/18/2012,
10/21/2012,
10/25/2012,
10/27/2012,
3/11/2012,
5/11/2012,
11/18/2012,
11/21/2012,
11/24/2012,
11/27/2012,
3/12/2012,
6/12/2012,
11/12/2012,
12/15/2012,
12/18/2012,
12/21/2012,
12/23/2012,
12/26/2012,
12/28/2012,
3/1/2013,
6/1/2013,
9/1/2013,
11/1/2013,
1/15/2013,
1/18/2013,
1/21/2013,
1/24/2013,
1/28/2013,
3/2/2013,
6/2/2013,
9/2/2013,
2/14/2013,
2/16/2013,
2/18/2013,
2/20/2013,
2/22/2013,
2/26/2013,
3/3/2013,
6/3/2013,
9/3/2013,
12/3/2013,
3/18/2013,
3/21/2013,
3/23/2013,
3/26/2013,
3/28/2013,
3/4/2013,
6/4/2013,
8/4/2013,
12/4/2013,
4/18/2013,
4/20/2013,
4/23/2013,
4/26/2013,
4/28/2013,
3/5/2013,
5/19/2013,
5/21/2013,
5/23/2013,
5/26/2013,
5/29/2013,
3/6/2013,
6/6/2013,
8/6/2013,
12/6/2013,
6/18/2013,
6/20/2013,
6/28/2013,
3/7/2013,
6/7/2013,
8/7/2013,
12/7/2013,
7/18/2013,
7/20/2013,
7/23/2013,
7/26/2013,
7/28/2013,
3/8/2013,
6/8/2013,
8/8/2013,
12/8/2013,
8/18/2013,
8/20/2013,
8/23/2013,
8/26/2013,
8/28/2013,
3/9/2013,
6/9/2013,
8/9/2013,
12/9/2013,
9/17/2013,
9/19/2013,
9/22/2013,
9/24/2013,
9/27/2013,
3/10/2013,
6/10/2013,
8/10/2013,
12/10/2013,
10/18/2013,
10/20/2013,
10/23/2013,
10/26/2013,
10/28/2013,
3/11/2013,
6/11/2013,
9/11/2013,
12/11/2013,
11/16/2013,
11/19/2013,
11/21/2013,
11/26/2013,
11/29/2013,
3/12/2013,
6/12/2013,
9/12/2013,
12/12/2013,
12/16/2013,
12/19/2013,
12/21/2013,
12/26/2013,
12/29/2013,
3/1/2013,
6/1/2013,
9/1/2013,
11/1/2013,
1/15/2013,
1/18/2013,
1/21/2013,
1/24/2013,
1/28/2013,
3/2/2013,
6/2/2013,
9/2/2013,
2/14/2013,
2/16/2013,
2/18/2013,
2/20/2013,
2/22/2013,
2/26/2013,
3/3/2013,
6/3/2013,
9/3/2013,
12/3/2013,
3/18/2013,
3/21/2013,
3/23/2013,
3/28/2013,
3/30/2013,
3/4/2013,
6/4/2013,
8/4/2013,
12/4/2013,
4/18/2013,
4/20/2013,
4/24/2013,
4/26/2013,
4/28/2013,
3/5/2013,
5/18/2013,
5/21/2013,
5/23/2013,
5/26/2013,
5/29/2013,
3/6/2013,
6/6/2013,
8/6/2013,
12/6/2013,
6/18/2013,
6/20/2013,
6/23/2013,
6/26/2013,
6/28/2013,
3/7/2013,
6/7/2013,
8/7/2013,
7/18/2013,
7/20/2013,
7/23/2013,
7/26/2013,
7/28/2013,
3/8/2013,
8/8/2013,
10/8/2013,
12/8/2013,
8/18/2013,
8/20/2013,
8/23/2013,
8/26/2013,
8/28/2013,
3/9/2013,
6/9/2013,
8/9/2013,
12/9/2013,
9/17/2013,
9/19/2013,
9/22/2013,
9/24/2013,
9/27/2013,
3/10/2013,
6/10/2013,
8/10/2013,
12/10/2013,
10/20/2013,
10/23/2013,
10/26/2013,
10/28/2013,
10/30/2013,
3/11/2013,
6/11/2013,
9/11/2013,
12/11/2013,
